full,last,first,link,citations,h-index,i10,t10,university,rank,UniversityID,comment,trim,,,,
Hong Qin,Qin,Hong,https://scholar.google.com/citations?user=NOcejj8AAAAJ&hl=zh-CN&oi=ao,7531,46,180,110,Stony Brook University - SUNY  ,Full,77,,*,,,,
Amir Rahmati,Rahmati,Amir,https://scholar.google.com/citations?user=_Y_YRLAAAAAJ&hl=en,2409,17,20,49,Stony Brook University - SUNY  ,Assistant,77,,*,,,,
C.R. Ramakrishnan,Ramakrishnan,C.R.,https://scholar.google.com/citations?user=YGDOoXAAAAAJ&hl=zh-CN&oi=ao,3676,32,72,91,Stony Brook University - SUNY  ,Full,77,,*,,,,
I.V. Ramakrishnan,Ramakrishnan,I.V.,https://scholar.google.com/citations?hl=en&user=FgfwY_UAAAAJ,5822,42,126,113,Stony Brook University - SUNY  ,Full,77,,*,,,,
Michael Ryoo,Ryoo,Michael ,https://scholar.google.com/citations?hl=en&user=vcw0TJIAAAAJ,6907,32,55,129,Stony Brook University - SUNY  ,Associate,77,New,*,,,,
Dimitris Samaras,Samaras,Dimitris,https://scholar.google.com/citations?user=BxbKTYkAAAAJ&hl=zh-CN&oi=ao,8087,48,108,187,Stony Brook University - SUNY  ,Full,77,Associate to Full,*,,,,
Andrew Schwartz,Schwartz,Andrew,https://scholar.google.com/citations?user=Na16PsUAAAAJ&hl=en&oi=ao,5402,31,55,131,Stony Brook University - SUNY  ,Assistant,77,,*,,,,
R. Sekar,Sekar,R.,https://scholar.google.com/citations?user=FBIbhGoAAAAJ&hl=zh-CN&oi=ao,10328,49,86,218,Stony Brook University - SUNY  ,Full,77,,*,,,,
Roy Shilkrot,Shilkrot,Roy,https://scholar.google.com/citations?user=WXV9HW4AAAAJ&hl=zh-CN&oi=ao,1060,15,19,30,Stony Brook University - SUNY  ,Assistant,77,Not listed,-,,,,
Radu Sion,Sion,Radu,https://scholar.google.com/citations?user=cn-X2AIAAAAJ&hl=en,5126,34,68,159,Stony Brook University - SUNY  ,Associate,77,,*,,,,
Steven Skiena,Steven ,Skiena,https://scholar.google.com/citations?hl=en&user=fnE2dSoAAAAJ,21036,60,163,282,Stony Brook University - SUNY  ,Full,77,Teaching,-,,,,
Scott Smolka,Smolka,Scott,https://scholar.google.com/citations?user=4q-QenMAAAAJ&hl=en&oi=ao,9948,50,141,155,Stony Brook University - SUNY  ,Full,77,,*,,,,
Eugene Stark,Stark,Eugene,https://scholar.google.com/citations?user=17ZK-6IAAAAJ&hl=en,2025,21,27,53,Stony Brook University - SUNY  ,Full,77,,*,,,,
Scott Stoller,Stoller,Scott,https://scholar.google.com/citations?user=9HNdszIAAAAJ&hl=zh-CN&oi=ao,5267,42,107,109,Stony Brook University - SUNY  ,Full,77,,*,,,,
Yifan Sun,Sun,Yifan ,https://scholar.google.com/citations?hl=en&user=o3fSb1YAAAAJ,589,12,15,16,Stony Brook University - SUNY  ,Assistant,77,New,*,,,,
Allen Tannenbaum,Tannenbaum,Allen,https://scholar.google.com/citations?user=w0Vl_lsAAAAJ&hl=zh-CN&oi=ao,32583,80,314,512,Stony Brook University - SUNY  ,Full,77,,*,,,,
Fusheng Wang,Wang,Fusheng,https://scholar.google.com/citations?user=VB6tZFEAAAAJ&hl=zh-CN&oi=ao,5314,33,89,99,Stony Brook University - SUNY  ,Associate,77,,*,,,,
Anita Wasilewska,Wasilewska,Anita,,,,,,Stony Brook University - SUNY  ,Associate,77,,*,,,,
Zhaozheng Yin,Yin,Zhaozheng ,https://scholar.google.com/citations?hl=en&user=x-y92ksAAAAJ,2763,25,52,91,Stony Brook University - SUNY  ,Associate,77,New,*,,,,
Dani Yogatama,Yogatama,Dani,https://scholar.google.com/citations?user=IBlMTLwAAAAJ&hl=zh-CN&oi=ao,5836,25,32,95,Stony Brook University - SUNY  ,Assistant,77,Not listed,-,,,,
Erez Zadok,Zadok,Erez,https://scholar.google.com/citations?user=ZG4V_jYAAAAJ&hl=zh-CN&oi=ao,8523,51,100,155,Stony Brook University - SUNY  ,Full,77,,*,,,,
"Blair, Howard",Blair,Howard,,,,,,Syracuse University  ,Associate,78,Not listed,-,,,,
"Chapin, Steve",Chapin,Steve,,,,,,Syracuse University  ,Associate,78,Not listed,-,,,,
"Chen, Biao",Chen,Biao,https://scholar.google.com/citations?user=653GqXUAAAAJ&hl=en&oi=ao,6114,35,91,145,Syracuse University  ,Full,78,,*,,,,
"Chen, Roger C. Y.",Chen,Roger ,,,,,,Syracuse University  ,Full,78,Electrical,-,,,,
"Chin, Shiu-Kai",Chin,Shiu-Kai,,,,,,Syracuse University  ,Full,78,,*,,,,
Teresa A. Dahlberg,Dahlberg,Teresa A,,,,,,Syracuse University  ,Full,78,Not listed,-,,,,
"Du, Wenliang",Du,Wenliang,https://scholar.google.com/citations?user=1aMkcasAAAAJ&hl=en&oi=ao,15669,53,91,398,Syracuse University  ,Full,78,,*,,,,
"Fioretto, Ferdinando",Ferdinando ,Fioretto,https://scholar.google.com/citations?hl=en&user=ASf9Q04AAAAJ,697,15,25,21,Syracuse University  ,Assistant,78,New,*,,,,
"Gandikota, Venkata S.S.",Gandikota,Venkata ,https://scholar.google.com/citations?hl=en&user=4u-2hcwAAAAJ,83,5,4,2,Syracuse University  ,Assistant,,New,*,,,,
"Gursoy, Mustafa Cenk",Gursoy,Mustafa Cenk,https://scholar.google.com/citations?user=qBxl76YAAAAJ&hl=en&oi=sra,3804,32,82,70,Syracuse University  ,Full,78,,*,,,,
"Hoque, Endadul ",Hoque,Endadul ,https://scholar.google.com/citations?hl=en&user=dSLXaKUAAAAJ,518,13,15,18,Syracuse University  ,Assistant,78,New,*,,,,
"Isik, Can",Isik,Can,,,,,,Syracuse University  ,Full,78,,*,,,,
"Katz, Garrett Ethan",Katz,Garrett ,,,,,,Syracuse University  ,Assistant,78,New,*,,,,
"Kim, Bryan S.",Kim,Bryan ,https://scholar.google.com/citations?hl=en&user=axFOJtEAAAAJ,232,6,6,2,Syracuse University  ,Assistant,78,New,*,,,,
"Kong, Fanxin",Kong,Fanxin,https://scholar.google.com/citations?hl=en&user=XeDepwwAAAAJ,1305,18,24,35,Syracuse University  ,Assistant,78,New,*,,,,
"Liang, Yingbin",Liang,Yingbin,https://scholar.google.com/citations?user=lGgLAiIAAAAJ&hl=en&oi=ao,6936,31,72,189,Syracuse University  ,Associate,78,Not listed,-,,,,
"Micinski, Kristopher",Micinski,Kristopher,https://scholar.google.com/citations?hl=en&user=HpJLJWUAAAAJ,821,8,8,2,Syracuse University  ,Assistant,78,New,*,,,,
"Mohan, Chilukuri",Mohan,Chilukuri,https://scholar.google.com/citations?user=41m5j04AAAAJ&hl=en&oi=ao,6951,32,71,115,Syracuse University  ,Full,78,,*,,,,
"Oh, Jae C.",Oh,Jae C.,,,,,,Syracuse University  ,Full,78,,*,,,,
"Older, Susan",Older,Susan,,,,,,Syracuse University  ,Associate,78,,*,,,,
"Phoha, Vir V.",Phoha,Vir V.,https://scholar.google.com/citations?hl=en&user=Yw5G390AAAAJ,3418,32,70,89,Syracuse University  ,Full,78,,*,,,,
"Qiu, Qinru",Qiu,Qinru,https://scholar.google.com/citations?user=DWv0xG0AAAAJ&hl=en&oi=ao,4401,35,78,115,Syracuse University  ,Full,78,,*,,,,
"Royer, James S.",Royer,James S.,,,,,,Syracuse University  ,Full,78,Not listed,-,,,,
"Salekin, Asif",Salekin,Asif,https://scholar.google.com/citations?user=eJb_HTEAAAAJ&hl=en,157,7,5,3,Syracuse University  ,Assistant,78,New,*,,,,
"Singh, Gurdip",Singh ,Gurdip ,,,,,,Syracuse University  ,Full,78,,*,,,,
"Soundarajan, Sucheta",Soundarajan,Sucheta,https://scholar.google.com/citations?user=Li0F9VAAAAAJ&hl=en&oi=ao,518,11,12,15,Syracuse University  ,Assistant,78,,*,,,,
"Smith, Cole",Smith,Cole,https://scholar.google.com/citations?hl=en&user=87CaUHYAAAAJ,3271,29,68,73,Syracuse University  ,Full,78,New,*,,,,
"Tang, Jian",Tang,Jian,https://scholar.google.com/citations?user=IirM9zMAAAAJ&hl=en&oi=ao,8808,43,102,194,Syracuse University  ,Full,78,Associate to Full,*,,,,
"Tang, Yuzhe",Tang,Yuzhe,https://scholar.google.com/citations?user=Svln274AAAAJ&hl=en,758,18,23,26,Syracuse University  ,Assistant,78,,*,,,,
"Varshney, Pramod K.",Varshney,Pramod K.,https://scholar.google.com/citations?user=PLvsUUcAAAAJ&hl=en&oi=ao,34252,79,370,524,Syracuse University  ,Full,78,,*,,,,
"Velipasalar, Senem",Velipasalar,Senem,https://scholar.google.com/citations?user=HEAE9XsAAAAJ&hl=en&oi=ao,2904,28,68,70,Syracuse University  ,Full,78,Associate to Full,*,,,,
Yanzhi Wang ,Wang ,Yanzhi,,,,,,Syracuse University  ,Assistant,78,Not listed,-,,,,
"Yu, Edmund S",Yu,Edmund S,https://scholar.google.com/citations?user=0uelS_AAAAAJ&hl=en&oi=sra,3460,15,18,24,Syracuse University  ,Associate,78,Associate Teaching Professor,-,,,,
"Zafarani, Reza",Zafarani,Reza,https://scholar.google.com/citations?hl=en&user=l0h7wL0AAAAJ,3276,25,37,71,Syracuse University  ,Assistant,78,,*,,,,
"Beigel, Richard",Beigel,Richard,https://scholar.google.com/citations?user=wdnoVk0AAAAJ&hl=en,4750,35,80,133,Temple University  ,Full,79,,*,,,,
"Dragut, Eduard",Dragut,Eduard,https://scholar.google.com/citations?user=bEpmUQ0AAAAJ&hl=en,785,15,18,30,Temple University  ,Associate,79,Assistant to Associate,*,,,,
"Du, James (Xiaojiang)",Du,James,https://scholar.google.com/citations?user=9K9BlyYAAAAJ&hl=en&oi=ao,12459,61,222,155,Temple University  ,Full,79,,*,,,,
"Gao, Hongchang",Gao,Hongchang,https://scholar.google.com/citations?hl=en&user=Yc-W6K4AAAAJ,567,9,9,9,Temple University  ,Assistant,79,New,*,,,,
"He, Xubin",He,Xubin,https://scholar.google.com/citations?user=ZtrIYqUAAAAJ&hl=en,2530,29,53,63,Temple University  ,Full,79,,*,,,,
"Ji, Bo",Ji,Bo,https://scholar.google.com/citations?user=9ILgtvAAAAAJ&hl=en,905,18,21,25,Temple University  ,Assistant,79,Not listed,-,,,,
"Kant, Krishna",Kant,Krishna,https://scholar.google.com/citations?user=sME_06YAAAAJ&hl=en,11663,38,155,163,Temple University  ,Full,79,,*,,,,
"Korsh, Jim",Korsh,Jim,,,,,,Temple University  ,Full,79,,*,,,,
"Kumar, Sudhir",Kumar,Sudhir,https://scholar.google.com/citations?user=G5zYeD8AAAAJ&hl=en,213427,77,150,4123,Temple University  ,Full,79,,*,,,,
"Kwatny, Gene (Eugene)",Kwatny,Gene,,,,,,Temple University  ,Full,79,,*,,,,
"LaFollette, Paul",LaFollette,Paul,,,,,,Temple University  ,Associate,79,,*,,,,
"Latecki, Longin Jan",Latecki,Longin Jan,https://scholar.google.com/citations?user=6sQtqo8AAAAJ&hl=en,11720,55,148,219,Temple University  ,Full,79,,*,,,,
"Ling, Haibin",Ling,Haibin,https://scholar.google.com/citations?user=jWx3qtIAAAAJ&hl=en,19758,66,176,464,Temple University  ,Full,79,Left,-,,,,
"Nosek, John",Nosek,John,https://scholar.google.com/citations?user=ZVaWiMQAAAAJ&hl=en,1735,16,24,61,Temple University  ,Full,79,Retired,-,,,,
"Obradovic, Zoran",Obradovic,Zoran,https://scholar.google.com/citations?user=iuNSO00AAAAJ&hl=en,27236,61,184,682,Temple University  ,Full,79,,*,,,,
"Payton, Jamie",Payton,Jamie,https://scholar.google.com/citations?user=dIbeva0AAAAJ&hl=en,867,15,29,20,Temple University  ,Associate,79,,*,,,,
"Shi, Justin",Shi,Justin,https://scholar.google.com/citations?user=OdRJuxYAAAAJ&hl=en,1069,17,27,30,Temple University  ,Associate,79,,*,,,,
"Shi, Xinghua (Mindy)",Shi,Xinghua ,https://scholar.google.com/citations?hl=en&user=vSDPGjcAAAAJ,26762,21,31,276,Temple University  ,Associate,79,New,*,,,,
"Souvenir, Richard",Souvenir,Richard,https://scholar.google.com/citations?user=1sMNiJIAAAAJ&hl=en,1257,16,25,31,Temple University  ,Associate,79,,*,,,,
"Tan, Chiu Chiang",Tan,Chiu Chiang,https://scholar.google.com/citations?user=pAnXSFAAAAAJ&hl=en&oi=sra,3532,33,46,135,Temple University  ,Associate,79,Assistant to Associate,*,,,,
"Vucetic, Slobodan",Vucetic,Slobodan,https://scholar.google.com/citations?user=eG-C3JIAAAAJ&hl=en,8388,35,76,272,Temple University  ,Full,79,,*,,,,
"Wang, Anduo",Wang,Anduo,https://scholar.google.com/citations?user=G0TbvLAAAAAJ&hl=en,310,9,8,7,Temple University  ,Assistant,79,,*,,,,
"Wang, Yan ",Wang,Yan ,https://scholar.google.com/citations?hl=en&user=S7HaN2oAAAAJ,2931,22,29,96,Temple University  ,Assistant,79,New,*,,,,
"Wang, Yu",Wang,Yu,https://scholar.google.com/citations?hl=en&user=ouPBv-wAAAAJ,11719,49,155,229,Temple University  ,Full,79,New,*,,,,
"Wu, Jie",Wu,Jie,https://scholar.google.com/citations?user=BVlfmXMAAAAJ&hl=en,41751,102,576,559,Temple University  ,Full,79,,*,,,,
"Zeng, Qiang",Zeng,Qiang,,,,,,Temple University  ,Assistant,79,Left,-,,,,
"Zhang, Kai",Zhang,Kai,https://scholar.google.com/citations?user=I6ifR7YAAAAJ&hl=en,2677,28,37,67,Temple University  ,Associate,79,,*,,,,
Ergun Akleman ,Alkeman,Ergun,https://scholar.google.com/citations?user=T5-M6YMAAAAJ&hl=en,1531,22,48,36,Texas A&M University - College Station  ,Full,80,Not listed,-,,,,
Nancy M. Amato,Amato,Nancy M.,https://scholar.google.com/citations?user=AmaB9c4AAAAJ&hl=en&oi=ao,11378,57,171,189,Texas A&M University - College Station  ,Full,80,Not listed,-,,,,
Riccardo Bettati,Bettati,Riccardo,https://scholar.google.com/citations?user=LiAGLcwAAAAJ&hl=en&oi=ao,3434,31,61,88,Texas A&M University - College Station  ,Full,80,,*,,,,
James Caverlee,Caverlee,James,https://scholar.google.com/citations?user=LB1dq_sAAAAJ&hl=en&oi=ao,7663,38,87,127,Texas A&M University - College Station  ,Full,80,Associate to Full,*,,,,
Theodora Chaspari,Chaspari,Theodora ,https://scholar.google.com/citations?hl=en&user=po1Qa-MAAAAJ,514,13,20,17,Texas A&M University - College Station  ,Assistant,80,New,*,,,,
Jinxiang Chai,Chai,Jinxiang,https://scholar.google.com/citations?user=OcN1_gwAAAAJ&hl=en&oi=ao,6842,37,53,138,Texas A&M University - College Station  ,Associate,80,Not listed,-,,,,
Jianer Chen,Chen,Jianer,https://scholar.google.com/citations?user=0zVOVQ0AAAAJ&hl=en&oi=ao,8639,48,152,165,Texas A&M University - College Station  ,Full,80,,*,,,,
Yoonsuck Choe,Choe,Yoonsuck,https://scholar.google.com/citations?user=nFb_T4wAAAAJ&hl=en&oi=ao,2030,22,54,37,Texas A&M University - College Station  ,Full,80,,*,,,,
Dilma Da Silva,Silva,Dilma Da,https://scholar.google.com/citations?user=b32YyLIAAAAJ&hl=en&oi=ao,4195,32,54,73,Texas A&M University - College Station  ,Full,80,,*,,,,
Tim Davis,Davis,Tim,https://scholar.google.com/citations?user=gNMqz_4AAAAJ&hl=en,14248,31,53,317,Texas A&M University - College Station  ,Full,80,,*,,,,
Richard Furuta,Furuta,Richard,https://scholar.google.com/citations?user=vygtLDcAAAAJ&hl=en&oi=ao,5612,37,92,108,Texas A&M University - College Station  ,Full,80,,*,,,,
Juan Garay,Garay ,Juan,https://scholar.google.com/citations?user=pOCh6eAAAAAJ&hl=en,14495,50,106,256,Texas A&M University - College Station  ,Full,80,,*,,,,
Daniel Goldberg,Goldberg,Daniel,https://scholar.google.com/citations?user=_WgovzoAAAAJ&hl=en,1857,25,41,52,Texas A&M University - College Station  ,Assistant,80,Not listed,-,,,,
Bruce Gooch,Gooch,Bruce,https://scholar.google.com/citations?user=KAgv5asAAAAJ&hl=en&oi=ao,8166,29,46,207,Texas A&M University - College Station  ,Associate,80,Not listed,-,,,,
Guofei Gu,Gu,Guofei,https://scholar.google.com/citations?user=SRC3O-4AAAAJ&hl=en&oi=ao,14919,51,102,347,Texas A&M University - College Station  ,Full,80,Associate to Full,*,,,,
Ricardo Gutierrez-Osuna,Gutierrez-Osuna,Ricardo,https://scholar.google.com/citations?user=UnuQfEwAAAAJ&hl=en&oi=ao,7683,36,118,135,Texas A&M University - College Station  ,Full,80,,*,,,,
Tracy Anne Hammond,Hammond,Tracy Anne,https://scholar.google.com/citations?user=wlp2c0IAAAAJ&hl=en&oi=sra,3699,29,91,56,Texas A&M University - College Station  ,Full,80,,*,,,,
Xia (Ben) Hu,Hu,Xia(Ben),https://scholar.google.com/citations?user=pcCS60IAAAAJ&hl=zh-CN&oi=ao,9563,41,94,260,Texas A&M University - College Station  ,Associate,80,Assistant to Associate,*,,,,
Jeff Huang,Huang,Jeff,https://scholar.google.com/citations?user=UmrxW60AAAAJ&hl=zh-CN&oi=ao,1219,18,24,39,Texas A&M University - College Station  ,Associate,80,Assistant to Associate,*,,,,
Ruihong Huang,Huang,Ruihong,https://scholar.google.com/citations?user=NU2aHWUAAAAJ&hl=en&oi=ao,1162,16,22,27,Texas A&M University - College Station  ,Assistant,80,,*,,,,
Thomas R. Ioerger,Ioerger,Thomas ,https://scholar.google.com/citations?hl=en&user=OfcXtoIAAAAJ,14715,52,131,231,Texas A&M University - College Station  ,Full,80,New,*,,,,
Roozbeh Jafari,Jafari,Roozbeh ,https://scholar.google.com/citations?hl=en&user=ZKg1UKwAAAAJ,6851,43,116,138,Texas A&M University - College Station  ,Full,80,New,*,,,,
Shuiwang Ji,Ji,Shuiwang ,https://scholar.google.com/citations?hl=en&user=BZGj6sAAAAAJ,12157,42,88,211,Texas A&M University - College Station  ,Associate,80,New,*,,,,
Anxiao (Andrew) Jiang,Jiang,Anxiao (Andrew),,,,,,Texas A&M University - College Station  ,Full,80,Associate to Full,*,,,,
Daniel A. Jimenez,Jimenez,Daniel A.,https://scholar.google.com/citations?user=kajXr5oAAAAJ&hl=en&oi=ao,3308,29,49,82,Texas A&M University - College Station  ,Full,80,,*,,,,
Nima Kalantari,Kalantari,Nima ,https://scholar.google.com/citations?hl=en&user=0TGDhHsAAAAJ,1831,18,23,73,Texas A&M University - College Station  ,Assistant,80,New,*,,,,
Andruid Kerne,Kerne,Andruid,https://scholar.google.com/citations?user=TD6dCG0AAAAJ&hl=en&oi=ao,2496,26,63,55,Texas A&M University - College Station  ,Full,80,,*,,,,
John Keyser,Keyser,John,https://scholar.google.com/citations?user=K4o-D-cAAAAJ&hl=en&oi=ao,3454,29,56,80,Texas A&M University - College Station  ,Full,80,,*,,,,
Eun Jung Kim,Kim,Eun Jung,https://scholar.google.com/citations?user=sc9YppcAAAAJ&hl=en&oi=ao,1568,22,32,48,Texas A&M University - College Station  ,Associate,80,,*,,,,
Jeeeun Kim,Kim,Jeeeun ,https://scholar.google.com/citations?hl=en&user=zNjEAPwAAAAJ,357,11,12,13,Texas A&M University - College Station  ,Assistant ,80,New,*,,,,
Andreas Klappenecker,Klappenecker,Andreas,https://scholar.google.com/citations?user=QKzwvNgAAAAJ&hl=en&oi=ao,2861,26,47,72,Texas A&M University - College Station  ,Full,80,,*,,,,
Jyh-Charn (Steve) Liu,Liu,Jyh-Charn (Steve),https://scholar.google.com/citations?user=DI23xwMAAAAJ&hl=en&oi=ao,31339,63,867,178,Texas A&M University - College Station  ,Full,80,,*,,,,
Dmitri Loguinov,Loguinov,Dmitri,https://scholar.google.com/citations?user=JSidYKQAAAAJ&hl=en&oi=ao,4322,40,69,108,Texas A&M University - College Station  ,Full,80,,*,,,,
Rabi Mahapatra,Mahapatra,Rabi,https://scholar.google.com/citations?user=PHGvd5cAAAAJ&hl=en,2847,25,71,59,Texas A&M University - College Station  ,Full,80,,*,,,,
Bobak Mortazavi,Mortazavi,Bobak,https://scholar.google.com/citations?user=TOAg4GkAAAAJ&hl=en&oi=ao,1105,19,26,33,Texas A&M University - College Station  ,Assistant,80,,*,,,,
Robin Murphy,Murphy,Robin,https://scholar.google.com/citations?user=SIcRijoAAAAJ&hl=en&oi=ao,17432,60,194,294,Texas A&M University - College Station  ,Full,80,,*,,,,
Abdullah Muzahid,Muzahid,Abdullah ,https://scholar.google.com/citations?hl=en&user=hN7mpGMAAAAJ,371,9,9,7,Texas A&M University - College Station  ,Assistant ,80,New,*,,,,
Khanh Nguyen,Nguyen,Khanh ,https://scholar.google.com/citations?hl=en&user=b5fHpFQAAAAJ,427,8,7,4,Texas A&M University - College Station  ,Assistant ,80,New,*,,,,
Francis Quek,Quek,Francis,https://scholar.google.com/citations?user=pPUjlKwAAAAJ&hl=en,10675,41,120,151,Texas A&M University - College Station  ,Full,80,Not listed,-,,,,
Eric Ragan ,Ragan,Eric,https://scholar.google.com/citations?user=VT7D6oYAAAAJ&hl=en,1840,22,39,47,Texas A&M University - College Station  ,Assistant,80,Not listed,-,,,,
Lawrence Rauchwerger,Rauchwerger,Lawrence,https://scholar.google.com/citations?user=ronge0AAAAAJ&hl=en&oi=ao,4939,37,73,118,Texas A&M University - College Station  ,Full,80,Not listed,-,,,,
Vivek Sarin,Sarin,Vivek,https://scholar.google.com/citations?user=4vLOo4wAAAAJ&hl=en&oi=ao,901,15,25,18,Texas A&M University - College Station  ,Associate,80,,*,,,,
Scott Schaefer,Schaefer,Scott ,https://scholar.google.com/citations?hl=en&user=tIgxLTUAAAAJ,5437,33,57,112,Texas A&M University - College Station  ,Full,80,New,*,,,,
Guni Sharon,Sharon,Guni ,https://scholar.google.com/citations?hl=en&user=Vwx9fo4AAAAJ,1761,19,25,50,Texas A&M University - College Station  ,Assistant ,80,New,*,,,,
Dylan Shell,Shell,Dylan,https://scholar.google.com/citations?user=Qt-JcygAAAAJ&hl=en&oi=ao,1832,21,47,38,Texas A&M University - College Station  ,Associate,80,,*,,,,
Frank M. Shipman,Shipman,Frank M.,https://scholar.google.com/citations?user=w0hg2MoAAAAJ&hl=en&oi=sra,7564,46,124,169,Texas A&M University - College Station  ,Full,80,,*,,,,
Dezhen Song,Song,Dezhen,https://scholar.google.com/citations?user=jdSlREMAAAAJ&hl=en&oi=ao,2581,26,64,69,Texas A&M University - College Station  ,Full,80,,*,,,,
Radu Stoleru,Stoleru,Radu,https://scholar.google.com/citations?user=beAeG20AAAAJ&hl=en&oi=ao,5923,29,63,119,Texas A&M University - College Station  ,Full,80,Associate to Full,*,,,,
Shinjiro Sueda,Sueda,Shinjiro,https://scholar.google.com/citations?user=mBqenhsAAAAJ&hl=zh-CN&oi=ao,1247,15,16,42,Texas A&M University - College Station  ,Assistant,80,,*,,,,
Sing-Hoi Sze,Sze,Sing-Hoi,https://scholar.google.com/citations?user=wwkGLrcAAAAJ&hl=en&oi=ao,3908,24,35,95,Texas A&M University - College Station  ,Associate,80,,*,,,,
Chia-Che Tsai,Tsai,Chia-Che,https://scholar.google.com/citations?hl=en&user=laqfZ-4AAAAJ,701,8,8,6,Texas A&M University - College Station  ,Assistant ,80,New,*,,,,
"Duncan M. ""Hank"" Walker",Walker,Duncan ,https://scholar.google.com/citations?user=-EXWOU0AAAAJ&hl=en&oi=sra,3238,30,76,58,Texas A&M University - College Station  ,Full,80,New,*,,,,
Zhangyang (Atlas) Wang,Wang,Zhangyang(Atlas),https://scholar.google.com/citations?user=pxFyKAIAAAAJ&hl=zh-CN&oi=ao,5348,33,77,111,Texas A&M University - College Station  ,Assistant,80,Not listed,-,,,,
Jennifer L. Welch,Welch,Jennifer L.,https://scholar.google.com/citations?user=_BSIZHAAAAAJ&hl=en&oi=ao,6955,34,80,154,Texas A&M University - College Station  ,Full,80,,*,,,,
Tiffani L. Williams,Williams,Tiffani L.,,,,,,Texas A&M University - College Station  ,Associate,80,Not listed,-,,,,
Hye-Chung Kum,Kum,Hye-Chung,https://scholar.google.com/citations?user=Q1QxnqoAAAAJ&hl=en&oi=ao,1141,19,29,35,Texas A&M University - College Station  ,Associate,80,Not listed,-,,,,
Jean-Francois Chamberland ,Chamberland ,Jean-Francois,https://scholar.google.com/citations?user=8Dk3NR0AAAAJ&hl=en,2655,21,40,48,Texas A&M University - College Station  ,Full,80,Not listed,-,,,,
Yupeng Zhang,Zhang,Yupeng,,,,,,Texas A&M University - College Station  ,Assistant ,80,New,*,,,,
"Chen, Lin",Chen,Lin,https://scholar.google.com/citations?hl=en&user=a0DapS0AAAAJ,810,15,24,22,Texas Tech University  ,Assistant,81,New,*,,,,
"Chen, Yong",Chen,Yong,https://scholar.google.com/citations?user=PHVKUhEAAAAJ&hl=en,2262,24,61,45,Texas Tech University  ,Associate,81,,*,,,,
"Dang, Tommy",Dang,Tommy,https://scholar.google.com/citations?user=jobGGfEAAAAJ&hl=en,720,15,17,23,Texas Tech University  ,Assistant,81,,*,,,,
Jin Fang,Fang,Jin,https://scholar.google.com/citations?user=_zpq5HIAAAAJ&hl=en,698,10,10,11,Texas Tech University  ,Assistant,81,,-,,,,
"Ghanavati, Sepideh",Ghanavati,Sepideh,https://scholar.google.com/citations?user=cZL5a0gAAAAJ&hl=en,1397,17,24,39,Texas Tech University  ,Assistant,81,,-,,,,
"Hewett, Rattikorn",Hewett,Rattikorn,,,,,,Texas Tech University  ,Full,81,,*,,,,
"Lim, Sunho",Lim,Sunho,https://scholar.google.com/citations?user=FoKKBqAAAAAJ&hl=en,926,17,24,25,Texas Tech University  ,Assistant,81,,*,,,,
"Mengel, Susan A.",Mengel,Susan A.,,,,,,Texas Tech University  ,Associate,81,,*,,,,
"Morshed, Bashir I.",Morshed,Bashir ,https://scholar.google.com/citations?hl=en&user=cffXbcgAAAAJ,782,13,21,19,Texas Tech University  ,Associate,81,New,*,,,,
"Rushton, J. Nelson",Rushton,J. Nelson,,,,,,Texas Tech University  ,Associate,81,,-,,,,
"Serwadda, Abdul",Serwadda,Abdul,https://scholar.google.com/citations?user=0YfFzzUAAAAJ&hl=en,798,14,17,21,Texas Tech University  ,Assistant,81,,*,,,,
"Sheng, Victor",Sheng,Victor,https://scholar.google.com/citations?hl=en&user=0epc43IAAAAJ,6631,31,73,166,Texas Tech University  ,Associate,81,New,*,,,,
"Shin, Michael (Eonsuk)",Shin,Michael (Eonsuk),,,,,,Texas Tech University  ,Associate,81,,*,,,,
"Siami-Namin, Akbar",Siami-Namin,Akbar,https://scholar.google.com/citations?user=7XR_zpwAAAAJ&hl=en,1988,20,37,32,Texas Tech University  ,Associate,81,,*,,,,
"Watson, Richard",Watson,Richard,,,,,,Texas Tech University  ,Associate,81,Not listed,-,,,,
"Zhang, Zhenkai",Zhang,Zhenkai,https://scholar.google.com/citations?hl=en&user=DFI-VpcAAAAJ,227,7,5,6,Texas Tech University  ,Assistant,81,New,*,,,,
"Zhang, Yuanlin",Zhang,Yuanlin,https://scholar.google.com/citations?user=1W7pOqkAAAAJ&hl=en,1467,17,28,47,Texas Tech University  ,Associate,81,,*,,,,
"Zhuang, Yu",Zhuang,Yu,,,,,,Texas Tech University  ,Associate,81,,*,,,,
"Acharya, Subrata",Acharya,Subrata,https://scholar.google.com/citations?user=SswwbDoAAAAJ&hl=en,496,11,15,14,Towson University  ,Full,82,Associate to Full,*,,,,
"Ali-Gombe, Aisha",Ali-Gombe,Aisha,https://scholar.google.com/citations?user=Qmc4CvYAAAAJ&hl=en&oi=sra,122,6,4,3,Towson University  ,Assistant,82,,*,,,,
"Alkharouf, Nadim",Alkharouf,Nadim,https://scholar.google.com/citations?user=xVUBtLkAAAAJ&hl=en,3209,30,46,115,Towson University  ,Full,82,,*,,,,
"Chakraborty, Suranjan",Chakraborty,Suranjan,https://scholar.google.com/citations?user=IoDHDz8AAAAJ&hl=en,857,11,14,12,Towson University  ,Full,82,Associate to Full,*,,,,
